Date,Neg_A_Sentiment,Neut_A_Sentiment,Number_of_Articles,Pos_A_Sentiment
2017-03-01,0.0,0.0,0,1.0
2017-03-02,0.0,0.0,0,1.0
2017-03-03,0.0,0.0,0,1.0
2017-03-04,0.0,0.0,0,1.0
2017-03-05,0.0,0.0,0,1.0
2017-03-06,0.0,0.0,0,1.0
2017-03-07,0.0,0.0,0,1.0
2017-03-08,0.0,0.0,0,1.0
2017-03-09,0.0,0.0,0,1.0
2017-03-10,0.0,0.0,0,1.0
2017-03-11,0.0,0.0,0,1.0
2017-03-12,0.0,0.0,0,1.0
2017-03-13,0.0,0.0,0,1.0
2017-03-14,0.0,0.0,0,1.0
2017-03-15,0.0,0.0,0,1.0
2017-03-16,0.0,0.0,0,1.0
2017-03-17,0.0,0.0,0,1.0
2017-03-18,0.0,0.0,0,1.0
2017-03-19,0.0,0.0,0,1.0
2017-03-20,0.0,0.0,0,1.0
2017-03-21,0.0,0.0,0,1.0
2017-03-22,0.0,0.0,0,1.0
2017-03-23,0.0,0.0,0,1.0
2017-03-24,0.0,0.0,0,1.0
2017-03-25,0.0,0.0,0,1.0
2017-03-26,0.0,0.0,0,1.0
2017-03-27,0.0,0.0,0,1.0
2017-03-28,0.0,0.0,0,1.0
2017-03-29,0.0,0.0,0,1.0
2017-03-30,0.0,0.0,0,1.0
2017-03-31,0.0,0.0,0,1.0
2017-04-01,0.0,0.0,0,1.0
2017-04-02,0.0,0.0,0,1.0
2017-04-03,0.0,0.0,6,1.0
2017-04-04,0.0,0.0,3,1.0
2017-04-05,0.0,0.0,3,1.0
2017-04-06,0.125,0.0,8,0.875
2017-04-07,0.2,0.0,5,0.8
2017-04-08,0.0,0.0,0,1.0
2017-04-09,1.0,0.0,1,0.0
2017-04-10,0.0,0.0,3,1.0
2017-04-11,0.0,0.0,4,1.0
2017-04-12,0.0,0.0,3,1.0
2017-04-13,0.25,0.0,8,0.75
2017-04-14,0.0,0.0,0,1.0
2017-04-15,0.0,0.0,0,1.0
2017-04-16,0.0,0.0,0,1.0
2017-04-17,0.0,0.0,0,1.0
2017-04-18,0.0,0.0,0,1.0
2017-04-19,0.0,0.0,0,1.0
2017-04-20,0.0,0.0,0,1.0
2017-04-21,0.0,0.0,0,1.0
2017-04-22,0.0,0.0,0,1.0
2017-04-23,0.0,0.0,0,1.0
2017-04-24,0.0,0.0,0,1.0
2017-04-25,0.0,0.0,0,1.0
2017-04-26,0.0,0.0,0,1.0
2017-04-27,0.0,0.0,0,1.0
2017-04-28,0.0,0.0,0,1.0
2017-04-29,0.0,0.0,0,1.0
2017-04-30,0.0,0.0,0,1.0
2017-04-31,0.0,0.0,0,1.0
